"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",350
"Piana di Curinga","Favella",350
"Piana di Curinga","Pulo di Molfetta Fondo Azzolini",350
"Piana di Curinga","Terragne",350
"Piana di Curinga","Coppa Nevigata",350
"Piana di Curinga","Grotta San Michele Arcangelo I",350
"Piana di Curinga","Ripatetta",350
"Piana di Curinga","Torre Sabea",350
"Piana di Curinga","Scamuso I",350
"Piana di Curinga","Trasano",350
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",350
"Piana di Curinga","Masseria Candelaro II",350
"Piana di Curinga","Trasanello I",350
"Piana di Curinga","Palata 1",350
"Le Secche","Rio Tana",350
"Le Secche","Arene Candide I",350
"Le Secche","Grotta Pollera",350
"Le Secche","Grotta dei Cocci",350
"Le Secche","Basi I",350
"Le Secche","Maddalena di Muccia",350
"Le Secche","Villaggio Ortucchio",350
"Le Secche","Grotta Sant'Angelo I",350
"Colle Santo Stefano","Le Macchie (Ripagnola Polignano a mare)",350
"Colle Santo Stefano","Susac Poje",350
"Colle Santo Stefano","Favella",350
"Colle Santo Stefano","Pulo di Molfetta Fondo Azzolini",350
"Colle Santo Stefano","Coppa Nevigata",350
"Colle Santo Stefano","Grotta San Michele Arcangelo I",350
"Colle Santo Stefano","Ripatetta",350
"Colle Santo Stefano","Kargadur",350
"Colle Santo Stefano","Rio Tana",350
"Colle Santo Stefano","Scamuso I",350
"Colle Santo Stefano","Trasano",350
"Colle Santo Stefano","Durdeva greda",350
"Colle Santo Stefano","Grotta dei Cocci",350
"Colle Santo Stefano","Masseria Candelaro II",350
"Colle Santo Stefano","Le Secche",350
"Colle Santo Stefano","Trasanello I",350
"Colle Santo Stefano","Palata 1",350
"Colle Santo Stefano","Maddalena di Muccia",350
"Colle Santo Stefano","Villaggio Ortucchio",350
"Colle Santo Stefano","Grotta Sant'Angelo I",350
"Colle Santo Stefano","Barice Smilcic",350
"Renaghju","Arene Candide I",350
"Renaghju","Grotta Pollera",350
"Renaghju","Grotta dei Cocci",350
"Renaghju","Basi I",350
"Palmarola","Colle Santo Stefano",350
